#Time	 Transmitted Flux
278	3.37966e-06
279	3.45387e-06
280	3.52857e-06
281	3.60366e-06
282	3.67903e-06
283	3.75456e-06
284	3.83014e-06
285	3.90566e-06
286	3.981e-06
287	4.05605e-06
288	4.13069e-06
289	4.20482e-06
290	4.27834e-06
291	4.35114e-06
292	4.42314e-06
293	4.49426e-06
294	4.56442e-06
295	4.63355e-06
296	4.70161e-06
297	4.76853e-06
298	4.83429e-06
299	4.89884e-06
300	4.96217e-06
301	5.02425e-06
302	5.08508e-06
303	5.14465e-06
304	5.20294e-06
305	5.25996e-06
306	5.31569e-06
307	5.37015e-06
308	5.42331e-06
309	5.47518e-06
310	5.52574e-06
311	5.57497e-06
312	5.62286e-06
313	5.66938e-06
314	5.71451e-06
315	5.75821e-06
316	5.80044e-06
317	5.84117e-06
318	5.88034e-06
319	5.91793e-06
320	5.95387e-06
321	5.98812e-06
322	6.02063e-06
323	6.05136e-06
324	6.08026e-06
325	6.10728e-06
326	6.1324e-06
327	6.15557e-06
328	6.17676e-06
329	6.19596e-06
330	6.21313e-06
331	6.22828e-06
332	6.24139e-06
333	6.25246e-06
334	6.26149e-06
335	6.26851e-06
336	6.27353e-06
337	6.27656e-06
338	6.27764e-06
339	6.2768e-06
340	6.27407e-06
341	6.2695e-06
342	6.26312e-06
343	6.25497e-06
344	6.24511e-06
345	6.23357e-06
346	6.2204e-06
347	6.20564e-06
348	6.18935e-06
349	6.17157e-06
350	6.15233e-06
351	6.13167e-06
352	6.10964e-06
353	6.08627e-06
354	6.06159e-06
355	6.03564e-06
356	6.00845e-06
357	5.98004e-06
358	5.95044e-06
359	5.91967e-06
360	5.88775e-06
361	5.8547e-06
362	5.82053e-06
363	5.78527e-06
364	5.74893e-06
365	5.71153e-06
366	5.67307e-06
367	5.63357e-06
368	5.59305e-06
369	5.55151e-06
370	5.50898e-06
371	5.46547e-06
372	5.42099e-06
373	5.37557e-06
374	5.32922e-06
375	5.28197e-06
376	5.23383e-06
377	5.18484e-06
378	5.13501e-06
379	5.08439e-06
380	5.033e-06
381	4.98087e-06
382	4.92804e-06
383	4.87455e-06
384	4.82044e-06
385	4.76574e-06
386	4.71051e-06
387	4.65478e-06
388	4.5986e-06
389	4.54201e-06
390	4.48506e-06
391	4.42781e-06
392	4.37028e-06
393	4.31254e-06
394	4.25462e-06
395	4.19658e-06
396	4.13845e-06
397	4.08029e-06
398	4.02214e-06
399	3.96403e-06
400	3.90601e-06
401	3.84812e-06
402	3.79039e-06
403	3.73286e-06
404	3.67556e-06
405	3.61852e-06
406	3.56178e-06
407	3.50536e-06
408	3.44929e-06
409	3.39359e-06
410	3.33829e-06
411	3.2834e-06
412	3.22894e-06
413	3.17494e-06
414	3.1214e-06
415	3.06835e-06
416	3.0158e-06
417	2.96375e-06
418	2.91222e-06
419	2.86122e-06
420	2.81075e-06
421	2.76083e-06
422	2.71147e-06
423	2.66265e-06
424	2.61441e-06
425	2.56673e-06
426	2.51962e-06
427	2.47309e-06
428	2.42715e-06
429	2.38179e-06
430	2.33701e-06
431	2.29284e-06
432	2.24925e-06
433	2.20627e-06
434	2.16389e-06
435	2.12212e-06
436	2.08096e-06
437	2.04042e-06
438	2.0005e-06
439	1.96122e-06
440	1.92257e-06
441	1.88457e-06
442	1.84722e-06
443	1.81054e-06
444	1.77454e-06
445	1.73923e-06
446	1.70462e-06
447	1.67073e-06
448	1.63759e-06
449	1.6052e-06
450	1.57359e-06
451	1.54278e-06
452	1.5128e-06
453	1.48367e-06
454	1.45543e-06
455	1.4281e-06
456	1.40173e-06
457	1.37634e-06
458	1.35197e-06
459	1.32867e-06
460	1.30648e-06
461	1.28545e-06
462	1.26562e-06
463	1.24704e-06
464	1.22978e-06
465	1.21388e-06
466	1.19941e-06
467	1.18643e-06
468	1.175e-06
469	1.16519e-06
470	1.15707e-06
471	1.15071e-06
472	1.14619e-06
473	1.14359e-06
474	1.14298e-06
475	1.14445e-06
476	1.14808e-06
477	1.15395e-06
478	1.16217e-06
479	1.17281e-06
480	1.18598e-06
481	1.20176e-06
482	1.22026e-06
483	1.24157e-06
484	1.2658e-06
485	1.29305e-06
486	1.32343e-06
487	1.35703e-06
488	1.39397e-06
489	1.43436e-06
490	1.47831e-06
491	1.52593e-06
492	1.57733e-06
493	1.63262e-06
494	1.69193e-06
495	1.75536e-06
496	1.82304e-06
497	1.89507e-06
498	1.97158e-06
499	2.05268e-06
500	2.13849e-06
501	2.22912e-06
502	2.32469e-06
503	2.42532e-06
504	2.53112e-06
505	2.64221e-06
506	2.75869e-06
507	2.88069e-06
508	3.00831e-06
509	3.14165e-06
510	3.28083e-06
511	3.42596e-06
512	3.57713e-06
513	3.73444e-06
514	3.898e-06
515	4.06789e-06
516	4.24421e-06
517	4.42705e-06
518	4.61649e-06
519	4.81261e-06
520	5.01548e-06
521	5.22519e-06
522	5.44179e-06
523	5.66536e-06
524	5.89594e-06
525	6.1336e-06
526	6.37837e-06
527	6.63031e-06
528	6.88944e-06
529	7.1558e-06
530	7.42941e-06
531	7.71029e-06
532	7.99845e-06
533	8.29389e-06
534	8.59661e-06
535	8.9066e-06
536	9.22384e-06
537	9.54831e-06
538	9.87997e-06
539	1.02188e-05
540	1.05647e-05
541	1.09177e-05
542	1.12776e-05
543	1.16445e-05
544	1.20182e-05
545	1.23986e-05
546	1.27856e-05
547	1.31792e-05
548	1.35792e-05
549	1.39855e-05
550	1.4398e-05
551	1.48164e-05
552	1.52407e-05
553	1.56707e-05
554	1.61063e-05
555	1.65471e-05
556	1.69931e-05
557	1.74441e-05
558	1.78998e-05
559	1.836e-05
560	1.88246e-05
561	1.92931e-05
562	1.97655e-05
563	2.02415e-05
564	2.07207e-05
565	2.12029e-05
566	2.16879e-05
567	2.21753e-05
568	2.26649e-05
569	2.31563e-05
570	2.36491e-05
571	2.41432e-05
572	2.46381e-05
573	2.51335e-05
574	2.56291e-05
575	2.61244e-05
576	2.66192e-05
577	2.7113e-05
578	2.76055e-05
579	2.80962e-05
580	2.85849e-05
581	2.9071e-05
582	2.95542e-05
583	3.0034e-05
584	3.05101e-05
585	3.0982e-05
586	3.14493e-05
587	3.19116e-05
588	3.23684e-05
589	3.28194e-05
590	3.32639e-05
591	3.37018e-05
592	3.41324e-05
593	3.45554e-05
594	3.49703e-05
595	3.53766e-05
596	3.5774e-05
597	3.6162e-05
598	3.65402e-05
599	3.69082e-05
600	3.72654e-05
601	3.76116e-05
602	3.79462e-05
603	3.82689e-05
604	3.85793e-05
605	3.88769e-05
606	3.91615e-05
607	3.94325e-05
608	3.96897e-05
609	3.99326e-05
610	4.0161e-05
611	4.03744e-05
612	4.05726e-05
613	4.07553e-05
614	4.0922e-05
615	4.10726e-05
616	4.12068e-05
617	4.13242e-05
618	4.14247e-05
619	4.1508e-05
620	4.15739e-05
621	4.16222e-05
622	4.16526e-05
623	4.16651e-05
624	4.16595e-05
625	4.16356e-05
626	4.15934e-05
627	4.15326e-05
628	4.14534e-05
629	4.13555e-05
630	4.12389e-05
631	4.11038e-05
632	4.09499e-05
633	4.07774e-05
634	4.05863e-05
635	4.03767e-05
636	4.01487e-05
637	3.99023e-05
638	3.96377e-05
639	3.9355e-05
640	3.90545e-05
641	3.87362e-05
642	3.84005e-05
643	3.80476e-05
644	3.76777e-05
645	3.72911e-05
646	3.68881e-05
647	3.6469e-05
648	3.60342e-05
649	3.55841e-05
650	3.5119e-05
651	3.46394e-05
652	3.41456e-05
653	3.36382e-05
654	3.31176e-05
655	3.25842e-05
656	3.20387e-05
657	3.14814e-05
658	3.09131e-05
659	3.03341e-05
660	2.97451e-05
661	2.91467e-05
662	2.85394e-05
663	2.7924e-05
664	2.73009e-05
665	2.6671e-05
666	2.60347e-05
667	2.53928e-05
668	2.4746e-05
669	2.40948e-05
670	2.34401e-05
671	2.27825e-05
672	2.21227e-05
673	2.14614e-05
674	2.07992e-05
675	2.0137e-05
676	1.94754e-05
677	1.88152e-05
678	1.8157e-05
679	1.75015e-05
680	1.68494e-05
681	1.62015e-05
682	1.55584e-05
683	1.49208e-05
684	1.42895e-05
685	1.36649e-05
686	1.30479e-05
687	1.24391e-05
688	1.18391e-05
689	1.12485e-05
690	1.0668e-05
691	1.00981e-05
692	9.53938e-06
693	8.9925e-06
694	8.45796e-06
695	7.93629e-06
696	7.428e-06
697	6.93359e-06
698	6.45353e-06
699	5.98828e-06
700	5.53825e-06
701	5.10386e-06
702	4.68549e-06
703	4.28351e-06
704	3.89824e-06
705	3.53e-06
706	3.17907e-06
707	2.84572e-06
708	2.53017e-06
709	2.23263e-06
710	1.95328e-06
711	1.69228e-06
712	1.44973e-06
713	1.22575e-06
714	1.02039e-06
715	8.33704e-07
716	6.65692e-07
717	5.1634e-07
718	3.85602e-07
719	2.73405e-07
720	1.79646e-07
721	1.04195e-07
722	4.68961e-08
723	7.56287e-09
724	-1.40161e-08
725	-1.80792e-08
726	-4.89107e-09
727	2.5258e-08
728	7.20526e-08
729	1.35153e-07
730	2.14195e-07
731	3.08792e-07
732	4.18534e-07
733	5.4299e-07
734	6.81708e-07
735	8.34215e-07
736	1.00002e-06
737	1.17861e-06
738	1.36947e-06
739	1.57204e-06
740	1.78577e-06
741	2.01008e-06
742	2.24439e-06
743	2.4881e-06
744	2.74059e-06
745	3.00126e-06
746	3.26945e-06
747	3.54455e-06
748	3.82589e-06
749	4.11284e-06
750	4.40474e-06
751	4.70092e-06
752	5.00074e-06
753	5.30351e-06
754	5.60859e-06
755	5.91531e-06
756	6.22301e-06
757	6.53103e-06
758	6.83873e-06
759	7.14546e-06
760	7.45058e-06
761	7.75346e-06
762	8.05347e-06
763	8.35e-06
764	8.64246e-06
765	8.93025e-06
766	9.21279e-06
767	9.48953e-06
768	9.75991e-06
769	1.00234e-05
770	1.02795e-05
771	1.05277e-05
772	1.07675e-05
773	1.09985e-05
774	1.12202e-05
775	1.14322e-05
776	1.16341e-05
777	1.18255e-05
778	1.20061e-05
779	1.21756e-05
780	1.23336e-05
781	1.24799e-05
782	1.26142e-05
783	1.27362e-05
784	1.28458e-05
785	1.29428e-05
786	1.30271e-05
787	1.30984e-05
788	1.31567e-05
789	1.3202e-05
790	1.32341e-05
791	1.32531e-05
792	1.32589e-05
793	1.32516e-05
794	1.32313e-05
795	1.31979e-05
796	1.31517e-05
797	1.30927e-05
798	1.3021e-05
799	1.2937e-05
800	1.28407e-05
801	1.27324e-05
802	1.26124e-05
803	1.24808e-05
804	1.23381e-05
805	1.21844e-05
806	1.20202e-05
807	1.18457e-05
808	1.16614e-05
809	1.14676e-05
810	1.12647e-05
811	1.10531e-05
812	1.08333e-05
