#Time	 Transmitted Flux
278	3.22199e-06
279	3.29253e-06
280	3.36354e-06
281	3.43492e-06
282	3.50656e-06
283	3.57836e-06
284	3.65021e-06
285	3.72199e-06
286	3.79359e-06
287	3.86491e-06
288	3.93583e-06
289	4.00626e-06
290	4.0761e-06
291	4.14524e-06
292	4.21361e-06
293	4.28111e-06
294	4.34769e-06
295	4.41327e-06
296	4.47781e-06
297	4.54124e-06
298	4.60354e-06
299	4.66467e-06
300	4.7246e-06
301	4.78332e-06
302	4.84082e-06
303	4.89707e-06
304	4.95209e-06
305	5.00585e-06
306	5.05837e-06
307	5.10963e-06
308	5.15962e-06
309	5.20834e-06
310	5.25578e-06
311	5.30192e-06
312	5.34674e-06
313	5.39023e-06
314	5.43235e-06
315	5.47308e-06
316	5.51237e-06
317	5.5502e-06
318	5.58652e-06
319	5.62129e-06
320	5.65446e-06
321	5.68599e-06
322	5.71583e-06
323	5.74394e-06
324	5.77029e-06
325	5.79482e-06
326	5.81751e-06
327	5.83832e-06
328	5.85722e-06
329	5.8742e-06
330	5.88923e-06
331	5.90231e-06
332	5.91344e-06
333	5.92261e-06
334	5.92983e-06
335	5.93511e-06
336	5.93848e-06
337	5.93995e-06
338	5.93955e-06
339	5.93732e-06
340	5.93329e-06
341	5.92751e-06
342	5.92e-06
343	5.91081e-06
344	5.89999e-06
345	5.88758e-06
346	5.87362e-06
347	5.85817e-06
348	5.84126e-06
349	5.82293e-06
350	5.80323e-06
351	5.78219e-06
352	5.75985e-06
353	5.73625e-06
354	5.71142e-06
355	5.68538e-06
356	5.65817e-06
357	5.62982e-06
358	5.60034e-06
359	5.56975e-06
360	5.53809e-06
361	5.50535e-06
362	5.47157e-06
363	5.43676e-06
364	5.40092e-06
365	5.36408e-06
366	5.32625e-06
367	5.28744e-06
368	5.24766e-06
369	5.20694e-06
370	5.16528e-06
371	5.12269e-06
372	5.07921e-06
373	5.03484e-06
374	4.98961e-06
375	4.94353e-06
376	4.89664e-06
377	4.84895e-06
378	4.8005e-06
379	4.75131e-06
380	4.70142e-06
381	4.65087e-06
382	4.59967e-06
383	4.54789e-06
384	4.49555e-06
385	4.44269e-06
386	4.38936e-06
387	4.33561e-06
388	4.28147e-06
389	4.227e-06
390	4.17223e-06
391	4.11722e-06
392	4.062e-06
393	4.00664e-06
394	3.95117e-06
395	3.89563e-06
396	3.84008e-06
397	3.78455e-06
398	3.72909e-06
399	3.67374e-06
400	3.61853e-06
401	3.56351e-06
402	3.50871e-06
403	3.45417e-06
404	3.3999e-06
405	3.34596e-06
406	3.29236e-06
407	3.23913e-06
408	3.18629e-06
409	3.13387e-06
410	3.08189e-06
411	3.03036e-06
412	2.97931e-06
413	2.92874e-06
414	2.87868e-06
415	2.82914e-06
416	2.78012e-06
417	2.73163e-06
418	2.68369e-06
419	2.6363e-06
420	2.58946e-06
421	2.54319e-06
422	2.49748e-06
423	2.45235e-06
424	2.40778e-06
425	2.36379e-06
426	2.32037e-06
427	2.27754e-06
428	2.23528e-06
429	2.1936e-06
430	2.1525e-06
431	2.11198e-06
432	2.07205e-06
433	2.03269e-06
434	1.99392e-06
435	1.95574e-06
436	1.91814e-06
437	1.88113e-06
438	1.84471e-06
439	1.80889e-06
440	1.77366e-06
441	1.73904e-06
442	1.70504e-06
443	1.67165e-06
444	1.63888e-06
445	1.60676e-06
446	1.57529e-06
447	1.54448e-06
448	1.51434e-06
449	1.4849e-06
450	1.45617e-06
451	1.42818e-06
452	1.40094e-06
453	1.37447e-06
454	1.34881e-06
455	1.32399e-06
456	1.30003e-06
457	1.27697e-06
458	1.25484e-06
459	1.23369e-06
460	1.21354e-06
461	1.19445e-06
462	1.17646e-06
463	1.15962e-06
464	1.14398e-06
465	1.12959e-06
466	1.1165e-06
467	1.10479e-06
468	1.0945e-06
469	1.0857e-06
470	1.07845e-06
471	1.07283e-06
472	1.06891e-06
473	1.06675e-06
474	1.06644e-06
475	1.06805e-06
476	1.07166e-06
477	1.07736e-06
478	1.08523e-06
479	1.09535e-06
480	1.10781e-06
481	1.12272e-06
482	1.14015e-06
483	1.1602e-06
484	1.18298e-06
485	1.20857e-06
486	1.23709e-06
487	1.26862e-06
488	1.30328e-06
489	1.34116e-06
490	1.38238e-06
491	1.42704e-06
492	1.47524e-06
493	1.52711e-06
494	1.58274e-06
495	1.64225e-06
496	1.70575e-06
497	1.77335e-06
498	1.84516e-06
499	1.92129e-06
500	2.00186e-06
501	2.08698e-06
502	2.17676e-06
503	2.27131e-06
504	2.37074e-06
505	2.47517e-06
506	2.58469e-06
507	2.69942e-06
508	2.81946e-06
509	2.94492e-06
510	3.07589e-06
511	3.21249e-06
512	3.35481e-06
513	3.50294e-06
514	3.65698e-06
515	3.81701e-06
516	3.98313e-06
517	4.15542e-06
518	4.33395e-06
519	4.51881e-06
520	4.71006e-06
521	4.90778e-06
522	5.11203e-06
523	5.32286e-06
524	5.54033e-06
525	5.76449e-06
526	5.99538e-06
527	6.23304e-06
528	6.4775e-06
529	6.72878e-06
530	6.98691e-06
531	7.25189e-06
532	7.52373e-06
533	7.80244e-06
534	8.088e-06
535	8.38039e-06
536	8.67961e-06
537	8.9856e-06
538	9.29835e-06
539	9.6178e-06
540	9.94389e-06
541	1.02766e-05
542	1.06158e-05
543	1.09614e-05
544	1.13134e-05
545	1.16716e-05
546	1.2036e-05
547	1.24064e-05
548	1.27828e-05
549	1.31649e-05
550	1.35527e-05
551	1.3946e-05
552	1.43446e-05
553	1.47483e-05
554	1.51571e-05
555	1.55707e-05
556	1.59889e-05
557	1.64114e-05
558	1.68382e-05
559	1.7269e-05
560	1.77035e-05
561	1.81415e-05
562	1.85827e-05
563	1.9027e-05
564	1.94739e-05
565	1.99233e-05
566	2.03749e-05
567	2.08283e-05
568	2.12832e-05
569	2.17395e-05
570	2.21966e-05
571	2.26543e-05
572	2.31124e-05
573	2.35703e-05
574	2.40278e-05
575	2.44845e-05
576	2.494e-05
577	2.53941e-05
578	2.58462e-05
579	2.6296e-05
580	2.67432e-05
581	2.71872e-05
582	2.76279e-05
583	2.80646e-05
584	2.8497e-05
585	2.89248e-05
586	2.93474e-05
587	2.97645e-05
588	3.01756e-05
589	3.05804e-05
590	3.09784e-05
591	3.13692e-05
592	3.17523e-05
593	3.21274e-05
594	3.24939e-05
595	3.28516e-05
596	3.32e-05
597	3.35386e-05
598	3.38671e-05
599	3.4185e-05
600	3.4492e-05
601	3.47877e-05
602	3.50716e-05
603	3.53434e-05
604	3.56028e-05
605	3.58493e-05
606	3.60826e-05
607	3.63024e-05
608	3.65083e-05
609	3.67e-05
610	3.68771e-05
611	3.70395e-05
612	3.71868e-05
613	3.73187e-05
614	3.74349e-05
615	3.75353e-05
616	3.76196e-05
617	3.76876e-05
618	3.77391e-05
619	3.77738e-05
620	3.77917e-05
621	3.77926e-05
622	3.77764e-05
623	3.77429e-05
624	3.76921e-05
625	3.76239e-05
626	3.75383e-05
627	3.74351e-05
628	3.73145e-05
629	3.71764e-05
630	3.70209e-05
631	3.6848e-05
632	3.66577e-05
633	3.64503e-05
634	3.62257e-05
635	3.59842e-05
636	3.5726e-05
637	3.54511e-05
638	3.51598e-05
639	3.48524e-05
640	3.45291e-05
641	3.41902e-05
642	3.3836e-05
643	3.34668e-05
644	3.30829e-05
645	3.26848e-05
646	3.22728e-05
647	3.18473e-05
648	3.14088e-05
649	3.09577e-05
650	3.04945e-05
651	3.00197e-05
652	2.95338e-05
653	2.90373e-05
654	2.85309e-05
655	2.8015e-05
656	2.74903e-05
657	2.69573e-05
658	2.64168e-05
659	2.58693e-05
660	2.53154e-05
661	2.47559e-05
662	2.41915e-05
663	2.36227e-05
664	2.30504e-05
665	2.24752e-05
666	2.18978e-05
667	2.13191e-05
668	2.07396e-05
669	2.01602e-05
670	1.95815e-05
671	1.90045e-05
672	1.84297e-05
673	1.78579e-05
674	1.72899e-05
675	1.67265e-05
676	1.61683e-05
677	1.56162e-05
678	1.50708e-05
679	1.45329e-05
680	1.40032e-05
681	1.34824e-05
682	1.29713e-05
683	1.24705e-05
684	1.19807e-05
685	1.15026e-05
686	1.10368e-05
687	1.0584e-05
688	1.01448e-05
689	9.71978e-06
690	9.30955e-06
691	8.91466e-06
692	8.53568e-06
693	8.17313e-06
694	7.8275e-06
695	7.49928e-06
696	7.18892e-06
697	6.89686e-06
698	6.6235e-06
699	6.36921e-06
700	6.13436e-06
701	5.91925e-06
702	5.7242e-06
703	5.54945e-06
704	5.39526e-06
705	5.26182e-06
706	5.14931e-06
707	5.05788e-06
708	4.98763e-06
709	4.93866e-06
710	4.911e-06
711	4.90469e-06
712	4.91969e-06
713	4.95597e-06
714	5.01344e-06
715	5.092e-06
716	5.1915e-06
717	5.31176e-06
718	5.45259e-06
719	5.61373e-06
720	5.79491e-06
721	5.99585e-06
722	6.2162e-06
723	6.45561e-06
724	6.71368e-06
725	6.99e-06
726	7.28412e-06
727	7.59556e-06
728	7.92382e-06
729	8.26839e-06
730	8.6287e-06
731	9.00419e-06
732	9.39425e-06
733	9.79827e-06
734	1.02156e-05
735	1.06456e-05
736	1.10876e-05
737	1.15408e-05
738	1.20047e-05
739	1.24783e-05
740	1.29611e-05
741	1.34523e-05
742	1.3951e-05
743	1.44565e-05
744	1.49681e-05
745	1.5485e-05
746	1.60062e-05
747	1.65312e-05
748	1.70589e-05
749	1.75888e-05
750	1.81198e-05
751	1.86514e-05
752	1.91825e-05
753	1.97125e-05
754	2.02405e-05
755	2.07658e-05
756	2.12876e-05
757	2.18051e-05
758	2.23175e-05
759	2.28241e-05
760	2.33243e-05
761	2.38171e-05
762	2.4302e-05
763	2.47783e-05
764	2.52452e-05
765	2.57022e-05
766	2.61486e-05
767	2.65837e-05
768	2.7007e-05
769	2.7418e-05
770	2.78161e-05
771	2.82007e-05
772	2.85713e-05
773	2.89276e-05
774	2.92691e-05
775	2.95953e-05
776	2.99058e-05
777	3.02004e-05
778	3.04786e-05
779	3.07403e-05
780	3.09851e-05
781	3.12127e-05
782	3.14231e-05
783	3.16159e-05
784	3.17911e-05
785	3.19486e-05
786	3.20883e-05
787	3.22102e-05
788	3.23141e-05
789	3.24002e-05
790	3.24686e-05
791	3.25191e-05
792	3.25521e-05
793	3.25676e-05
794	3.25658e-05
795	3.25469e-05
796	3.25111e-05
797	3.24587e-05
798	3.239e-05
799	3.23052e-05
800	3.22048e-05
801	3.2089e-05
802	3.19583e-05
803	3.1813e-05
804	3.16537e-05
805	3.14807e-05
806	3.12946e-05
807	3.10957e-05
808	3.08847e-05
809	3.06621e-05
810	3.04284e-05
811	3.01841e-05
812	2.99299e-05
813	2.96663e-05
814	2.9394e-05
815	2.91135e-05
816	2.88255e-05
817	2.85306e-05
818	2.82294e-05
819	2.79225e-05
820	2.76107e-05
821	2.72945e-05
822	2.69746e-05
823	2.66517e-05
824	2.63264e-05
825	2.59993e-05
826	2.56711e-05
827	2.53425e-05
828	2.5014e-05
829	2.46863e-05
830	2.436e-05
831	2.40358e-05
832	2.37141e-05
833	2.33957e-05
834	2.3081e-05
835	2.27708e-05
836	2.24654e-05
837	2.21654e-05
838	2.18714e-05
839	2.15838e-05
840	2.13032e-05
841	2.10299e-05
842	2.07645e-05
843	2.05074e-05
844	2.02589e-05
845	2.00195e-05
846	1.97894e-05
847	1.95691e-05
848	1.93588e-05
849	1.91589e-05
850	1.89695e-05
851	1.8791e-05
852	1.86235e-05
853	1.84673e-05
854	1.83225e-05
855	1.81892e-05
856	1.80675e-05
857	1.79576e-05
858	1.78595e-05
859	1.77732e-05
860	1.76988e-05
861	1.76362e-05
862	1.75854e-05
863	1.75463e-05
864	1.75189e-05
865	1.7503e-05
866	1.74985e-05
867	1.75052e-05
868	1.7523e-05
869	1.75516e-05
870	1.75909e-05
871	1.76406e-05
872	1.77003e-05
873	1.777e-05
874	1.78491e-05
875	1.79375e-05
876	1.80347e-05
877	1.81404e-05
878	1.82543e-05
879	1.8376e-05
880	1.8505e-05
881	1.86409e-05
882	1.87834e-05
883	1.89319e-05
884	1.90861e-05
885	1.92455e-05
886	1.94096e-05
887	1.95779e-05
888	1.975e-05
889	1.99254e-05
890	2.01036e-05
891	2.02841e-05
892	2.04664e-05
893	2.065e-05
894	2.08345e-05
895	2.10193e-05
896	2.12039e-05
897	2.13878e-05
898	2.15706e-05
899	2.17518e-05
900	2.19309e-05
901	2.21075e-05
902	2.2281e-05
903	2.2451e-05
904	2.26171e-05
905	2.27789e-05
906	2.29359e-05
907	2.30876e-05
908	2.32338e-05
909	2.3374e-05
910	2.35079e-05
911	2.3635e-05
912	2.37551e-05
913	2.38678e-05
914	2.39728e-05
915	2.40699e-05
916	2.41586e-05
917	2.42389e-05
918	2.43104e-05
919	2.43729e-05
920	2.44261e-05
921	2.447e-05
922	2.45044e-05
923	2.45291e-05
924	2.45439e-05
925	2.45488e-05
926	2.45436e-05
927	2.45284e-05
928	2.4503e-05
929	2.44674e-05
930	2.44217e-05
931	2.43657e-05
932	2.42996e-05
933	2.42234e-05
934	2.41372e-05
935	2.40409e-05
